Error,Step,Solution,Time
1.000000E-04,0,0,0
1.000000E-04,10,29,4
1.000000E-04,20,29,4
1.000000E-04,30,29,3
1.000000E-04,40,29,4
1.000000E-04,50,29,5
1.000000E-04,60,29,5
1.000000E-04,70,29,5
1.000000E-04,80,29,6
1.000000E-04,90,29,7
1.000000E-04,100,29,7
1.000000E-04,110,29,8
1.000000E-04,120,29,7
1.000000E-04,130,29,8
1.000000E-04,140,29,9
1.000000E-04,150,29,10
1.000000E-04,160,29,9
1.000000E-04,170,29,11
1.000000E-04,180,29,11
1.000000E-04,190,29,11
1.000000E-04,200,29,12
1.000000E-04,210,29,13
1.000000E-04,220,29,13
1.000000E-04,230,29,14
1.000000E-04,240,29,13
1.000000E-04,250,29,14
1.000000E-04,260,29,14
1.000000E-04,270,29,17
1.000000E-04,280,29,15
1.000000E-04,290,29,16
1.000000E-04,300,29,17
1.000000E-04,310,29,16
1.000000E-04,320,29,17
1.000000E-04,330,29,17
1.000000E-04,340,29,18
1.000000E-04,350,29,19
1.000000E-04,360,29,20
1.000000E-04,370,29,19
1.000000E-04,380,29,21
1.000000E-04,390,29,25
1.000000E-04,400,29,21
1.000000E-04,410,29,22
1.000000E-04,420,29,22
1.000000E-04,430,29,23
1.000000E-04,440,29,23
1.000000E-04,450,29,24
1.000000E-04,460,29,24
1.000000E-04,470,29,23
1.000000E-04,480,29,24
1.000000E-04,490,29,25
1.000000E-04,500,29,25
1.000000E-04,510,29,25
1.000000E-04,520,29,26
1.000000E-04,530,29,26
1.000000E-04,540,29,27
1.000000E-04,550,29,28
1.000000E-04,560,29,29
1.000000E-04,570,29,35
1.000000E-04,580,29,31
1.000000E-04,590,29,31
1.000000E-04,600,29,32
1.000000E-04,610,29,31
1.000000E-04,620,29,32
1.000000E-04,630,29,32
1.000000E-04,640,29,34
1.000000E-04,650,29,33
1.000000E-04,660,29,35
1.000000E-04,670,29,36
1.000000E-04,680,29,36
1.000000E-04,690,29,36
1.000000E-04,700,29,39
1.000000E-04,710,29,37
1.000000E-04,720,29,38
1.000000E-04,730,29,38
1.000000E-04,740,29,38
1.000000E-04,750,29,38
1.000000E-04,760,29,39
1.000000E-04,770,29,40
1.000000E-04,780,29,41
1.000000E-04,790,29,41
1.000000E-04,800,29,42
1.000000E-04,810,29,42
1.000000E-04,820,29,43
1.000000E-04,830,29,46
1.000000E-04,840,29,44
1.000000E-04,850,29,44
1.000000E-04,860,29,45
1.000000E-04,870,29,45
1.000000E-04,880,29,46
1.000000E-04,890,29,46
1.000000E-04,900,29,47
1.000000E-04,910,29,47
1.000000E-04,920,29,48
1.000000E-04,930,29,47
1.000000E-04,940,29,47
1.000000E-04,950,29,47
1.000000E-04,960,29,48
1.000000E-04,970,29,49
1.000000E-04,980,29,49
1.000000E-04,990,29,50
1.000000E-04,1000,29,50
1.000000E-04,1010,29,51
1.000000E-04,1020,29,51
1.000000E-04,1030,29,52
1.000000E-04,1040,29,53
1.000000E-04,1050,29,53
1.000000E-04,1060,29,53
